Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cambodia,KHM,..,..,7.5,7,6.2,5.1,4.6,4.9,5,4.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Indonesia,IDN,..,..,7.3,6.7,6,5.9,6.2,6.3,6.8,7.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lao PDR,LAO,..,..,8,7.1,6.8,6.5,6.5,6.3,5.9,5.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Malaysia,MYS,..,..,3.5,3,2.7,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Myanmar,MMR,..,..,4.9,4.2,3.8,3.6,3.4,4,4.6,5.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Philippines,PHL,..,..,10,8.6,7.1,6,5.6,5.8,6,5.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Timor-Leste,TLS,..,..,12.2,12.4,13.2,13.4,14.5,15.4,16,15.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Thailand,THA,..,..,7.4,7.3,7.3,7,6.4,6.1,5.8,5.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Viet Nam,VNM,..,..,7.8,7.5,7,6.6,6,5.5,5.2,5.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Afghanistan,AFG,..,..,20,20.5,21.4,22.6,25.1,27.7,29.4,30.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Albania,ALB,..,..,4.4,4.3,4.3,4.2,4.3,4.4,4.3,4.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Algeria,DZA,..,..,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Angola,AGO,..,..,14,14.9,15.2,15.7,18,20.5,22.1,23.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Argentina,ARG,..,..,2.8,3,3.4,3.5,3.5,3.4,3.3,3.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Armenia,ARM,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Australia,AUS,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Austria,AUT,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Azerbaijan,AZE,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bangladesh,BGD,..,..,14.9,14.4,13.7,12.8,11.9,12.1,11.8,11.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Barbados,BRB,..,..,2.5,2.5,2.5,2.5,2.9,3.5,3.9,3.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belarus,BLR,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belgium,BEL,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belize,BLZ,..,..,6.3,6,5.6,4.9,4.5,4.4,4.3,4.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Benin,BEN,..,..,9.2,9.7,10.6,11.4,11.5,10.8,10.4,10.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bolivia,BOL,..,..,16.8,15.6,14.9,14.5,14.5,16.9,20.3,23,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bosnia and Herzegovina,BIH,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Botswana,BWA,..,..,20.3,20.9,22,22,22.7,22.9,24.2,24.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Brazil,BRA,..,..,2.5,2.5,2.5,2.5,2.5,3.4,4.2,3.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bulgaria,BGR,..,..,4,4.1,3.4,3,3,2.9,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Burkina Faso,BFA,..,..,13.5,13.9,14,14.5,14.4,15.1,15.1,15.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cabo Verde,CPV,..,..,16.8,16.7,15.9,15.2,14,13.2,12.6,12.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cameroon,CMR,..,..,4.8,5.3,5.9,6.2,6.1,5.9,5.8,5.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Canada,CAN,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Central African Republic,CAF,..,..,24,22.6,21.7,21.4,21.4,21.8,22.7,23.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Chad,TCD,..,..,25.8,26.1,26.6,28,29.7,31.8,33.6,35.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Chile,CHL,..,..,3.3,3.2,3.1,3,2.7,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,China,CHN,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Colombia,COL,..,..,5.1,4.6,4.3,4.3,4.3,4.4,4.2,4.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Comoros,COM,..,..,13.9,13.5,13.1,13.1,13.4,13.9,15.7,16.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Congo, Dem. Rep.",COD,..,..,31.5,32.1,32.4,32.3,33.8,35,35.7,37,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Congo, Rep.",COG,..,..,29.3,29.5,30.2,29.8,29.1,27.8,27.1,26.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Costa Rica,CRI,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cote d'Ivoire,CIV,..,..,13.2,11.9,11,10.2,9.5,8.8,9.1,9.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Croatia,HRV,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cuba,CUB,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cyprus,CYP,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Czechia,CZE,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Denmark,DNK,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Djibouti,DJI,..,..,13.2,12.8,12.7,12.2,11.9,11.9,12.3,12.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Dominica,DMA,..,..,7,8,9.4,10.1,11.9,13.4,14,13.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Dominican Republic,DOM,..,..,7.4,6.7,6,5.8,6.3,6.2,5.8,4.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ecuador,ECU,..,..,8.5,9.1,10.1,11.1,12.6,13.6,14,13.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Egypt, Arab Rep.",EGY,..,..,6.3,6.5,6.9,6.8,6.7,6.9,7.6,8.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,El Salvador,SLV,..,..,9.2,8.5,7.6,6.9,6.9,6.6,7.1,6.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Estonia,EST,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Eswatini,SWZ,..,..,15.8,15.9,14.7,13.2,11.6,11.3,11.6,12.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ethiopia,ETH,..,..,14.4,14,15.4,17.9,20.9,23,23.5,22.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Fiji,FJI,..,..,7.1,7.5,7.2,6.3,5.5,6.2,6.9,7.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Finland,FIN,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,France,FRA,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,French Polynesia,PYF,..,..,5.7,6.1,6.6,6.4,5.8,5.2,5,5.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Gabon,GAB,..,..,14.1,15.3,16.5,17.6,18.8,19.7,20.1,20.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Gambia, The",GMB,..,..,11.9,12.1,13.4,14.2,15.9,17.1,19.3,20.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Georgia,GEO,..,..,6.6,6.7,6.6,5.5,5.4,5.2,5.2,4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Germany,DEU,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ghana,GHA,..,..,9.7,9.8,9,7.8,6.9,6,5.9,6.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Greece,GRC,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guatemala,GTM,..,..,15.6,14.8,14.4,14.1,14.1,13.6,13.2,12.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guinea,GIN,..,..,12.8,13.2,13.2,12.6,11.7,10.4,9.9,10.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guinea-Bissau,GNB,..,..,30,28.3,27.9,28,30.7,31.7,32.4,32.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Guyana,GUY,..,..,4.4,3.5,3.1,3,2.8,2.6,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Haiti,HTI,..,..,38.3,39.1,40.6,41.6,43.6,45.1,48.2,50.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Honduras,HND,..,..,15,14.4,13.9,13.7,14,15.8,18.4,20.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Hong Kong SAR, China",HKG,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Hungary,HUN,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Iceland,ISL,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,India,IND,..,..,12.2,11.5,10.5,10.3,11.6,13.1,14,13.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Iran, Islamic Rep.",IRN,..,..,6.7,7.2,7.6,7.6,7.3,6.5,6.5,6.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Iraq,IRQ,..,..,16.3,16.6,16.6,16.4,16.1,15.8,16,16.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ireland,IRL,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Israel,ISR,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Italy,ITA,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Jamaica,JAM,..,..,7.9,7.6,7.2,6.2,6.7,7,7.6,7.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Japan,JPN,..,..,2.7,2.7,2.7,2.6,2.8,2.9,3.2,3.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Jordan,JOR,..,..,7,7.8,9.1,10.7,13.1,15.8,17.3,17.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kazakhstan,KAZ,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kenya,KEN,..,..,20.5,21.8,23.2,22.6,23.4,26,31.1,34.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kiribati,KIR,..,..,2.9,2.9,3,3.2,3.5,3.8,3.8,3.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Korea, Dem. People's Rep.",PRK,..,..,43.3,44.2,45.8,45.3,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Korea, Rep.",KOR,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kuwait,KWT,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kyrgyz Republic,KGZ,..,..,5.9,5.7,5.3,4.7,4.6,5.1,5.5,6.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Latvia,LVA,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lebanon,LBN,..,..,5.7,5.8,5.6,5.7,7.1,8.9,10.2,9.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Liberia,LBR,..,..,35.6,34.9,34.7,35.2,36.5,37.5,38.3,38.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Libya,LBY,..,..,7.8,8,8.4,8.8,9.9,11,11.9,11.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Lithuania,LTU,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Luxembourg,LUX,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Macao SAR, China",MAC,..,..,6.3,6.2,6,5.9,7.2,8.7,10.3,10.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Madagascar,MDG,..,..,30.8,32.3,33.3,34.6,36,37.6,38.9,39.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Malawi,MWI,..,..,15.5,15.8,16.8,17.4,18.5,19,19.4,19.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mali,MLI,..,..,4.8,4.4,4.6,4.6,4.7,4.6,7.1,9.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Malta,MLT,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mauritania,MRT,..,..,6.7,6.9,6.9,6.8,7,7.5,8.3,9.3,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mauritius,MUS,..,..,6.8,6.9,7,6.8,7.2,7.2,6.7,5.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mexico,MEX,..,..,3.7,3.7,3.8,3.6,3.5,3.2,3.2,3.1,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Moldova,MDA,..,..,3.4,2.7,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mongolia,MNG,..,..,9,8.2,6.9,6.3,5.1,4.3,3,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Montenegro,MNE,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Morocco,MAR,..,..,3.7,3.7,3.5,3.6,4.1,5.3,6.4,6.9,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Mozambique,MOZ,..,..,42.3,44.4,41.1,35.3,30.9,28.3,26.3,24.8,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Namibia,NAM,..,..,21.8,20.7,20.2,19.4,19.1,19.1,20.5,22.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Nepal,NPL,..,..,6.6,5.7,5.1,5,5.2,5.6,5.7,5.7,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Netherlands,NLD,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,New Caledonia,NCL,..,..,8.2,8,7.7,7.1,6.6,6,5.7,5.6,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,New Zealand,NZL,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Nicaragua,NIC,..,..,19.3,18.3,17.6,17.6,17.8,18.7,19.2,19.6,..,..
